[19:59:31.656] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (d736bb5fac9e9dd9593992eaeb4110e2)
[19:59:32.344] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:59:34.824] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:59:38.150] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:59:38.497] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:59:38.762] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:59:40.452] | INFO  | main                             | YandexComp                       | Button 'see else' available
[19:59:40.452] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:59:40.685] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi by price
[19:59:41.866] | INFO  | main                             | YandexComp                       | Button 'see else' available
[19:59:41.934] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[19:59:42.124] | INFO  | main                             | YandexComp                       | driver shutDown
[20:03:26.827] | INFO  | main                             | YandexComp                       | Initialized driver
[20:03:28.555] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (84ca4fb295c987e748842869d946b291)
[20:03:30.003] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[20:03:31.845] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[20:03:35.171] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[20:03:35.535] | INFO  | main                             | YandexComp                       | Select HUAWEI
[20:03:35.869] | INFO  | main                             | YandexComp                       | Select Xiaomi
[20:03:37.596] | INFO  | main                             | YandexComp                       | Button 'see else' available
[20:03:37.598] | INFO  | main                             | YandexComp                       | Wait button is clickable
[20:03:37.781] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi by price
[20:03:39.205] | INFO  | main                             | YandexComp                       | Button 'see else' available
[20:03:39.313] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[20:03:39.469] | INFO  | main                             | YandexComp                       | driver shutDown
[20:04:49.735] | INFO  | main                             | YandexComp                       | Initialized driver
[20:04:51.855] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (29497bc114738929451177f48f2b7937)
[20:04:52.444] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[20:04:54.787] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[20:04:58.444] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
